,Building_Project_Name,Street_Name,Postal_District,Type,No_of_Bedrooms,Monthly_Rent,Floor_Area,Lease_Commencement_Date,Downloaded_At
8798,MELROSE PARK,KELLOCK ROAD,10,Non-landed Properties,3,"5,200",1200 to 1300,Oct-19,2020-01-22 02:27:42.485660
8799,MELROSE PARK,KELLOCK ROAD,10,Non-landed Properties,4,"5,500",1700 to 1800,Oct-19,2020-01-22 02:27:42.508662
8800,MELROSE PARK,KELLOCK ROAD,10,Non-landed Properties,3,"4,900",1300 to 1400,Oct-19,2020-01-22 02:27:42.535663
8801,MELROSE VILLAS,LORONG J TELOK KURAU,15,Semi-Detached House,na*,"4,000",2500 to 3000,Oct-19,2020-01-22 02:27:42.701676
8802,MELROSE VILLE,ROSE LANE,15,Non-landed Properties,1,"1,800",500 to 600,Dec-19,2020-01-22 02:27:43.637296
8803,MELROSE VILLE,ROSE LANE,15,Non-landed Properties,3,"2,500",800 to 900,Nov-19,2020-01-22 02:27:43.662136
8804,MELROSE VILLE,ROSE LANE,15,Non-landed Properties,1,"1,800",500 to 600,Oct-19,2020-01-22 02:27:43.679139
8805,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,2,"2,500",900 to 1000,Dec-19,2020-01-22 02:27:44.744949
8806,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,3,"2,500",1300 to 1400,Dec-19,2020-01-22 02:27:44.830665
8807,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,2,"2,400",900 to 1000,Dec-19,2020-01-22 02:27:44.895671
8808,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,2,"2,000",900 to 1000,Dec-19,2020-01-22 02:27:44.959675
8809,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,3,"2,400",900 to 1000,Dec-19,2020-01-22 02:27:45.021680
8810,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,2,"2,200",900 to 1000,Dec-19,2020-01-22 02:27:45.084685
8811,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,3,"2,600",1000 to 1100,Dec-19,2020-01-22 02:27:45.147689
8812,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,3,"2,400",1100 to 1200,Dec-19,2020-01-22 02:27:45.217696
8813,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,2,"2,200",900 to 1000,Dec-19,2020-01-22 02:27:45.281701
8814,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,2,"2,200",900 to 1000,Dec-19,2020-01-22 02:27:45.341717
8815,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,3,"2,900",1300 to 1400,Dec-19,2020-01-22 02:27:45.404708
8816,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,3,"2,850",1300 to 1400,Dec-19,2020-01-22 02:27:45.470715
8817,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,3,"2,600",1100 to 1200,Dec-19,2020-01-22 02:27:45.535718
8818,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,2,"2,000",1000 to 1100,Dec-19,2020-01-22 02:27:45.597723
8819,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,3,"3,050",1400 to 1500,Dec-19,2020-01-22 02:27:45.657727
8820,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,2,"2,300",900 to 1000,Dec-19,2020-01-22 02:27:45.717732
8821,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,2,"2,400",900 to 1000,Nov-19,2020-01-22 02:27:45.795739
8822,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,2,"2,400",1000 to 1100,Nov-19,2020-01-22 02:27:45.869743
8823,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,2,"2,450",900 to 1000,Nov-19,2020-01-22 02:27:45.929747
8824,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,2,"2,150",1000 to 1100,Nov-19,2020-01-22 02:27:45.994753
8825,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,2,"2,250",900 to 1000,Nov-19,2020-01-22 02:27:46.058757
8826,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,3,"2,900",1300 to 1400,Nov-19,2020-01-22 02:27:46.121765
8827,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,3,"3,100",1300 to 1400,Nov-19,2020-01-22 02:27:46.183766
8828,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,2,"2,500",900 to 1000,Nov-19,2020-01-22 02:27:46.246772
8829,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,2,"2,500",900 to 1000,Nov-19,2020-01-22 02:27:46.319778
8830,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,2,"2,200",900 to 1000,Nov-19,2020-01-22 02:27:46.381782
8831,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,2,"2,000",900 to 1000,Nov-19,2020-01-22 02:27:46.445787
8832,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,2,"2,100",900 to 1000,Nov-19,2020-01-22 02:27:46.508793
8833,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,2,"2,350",900 to 1000,Nov-19,2020-01-22 02:27:46.572798
8834,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,3,"2,700",1300 to 1400,Nov-19,2020-01-22 02:27:46.635801
8835,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,2,"2,300",900 to 1000,Nov-19,2020-01-22 02:27:46.699805
8836,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,2,"2,050",900 to 1000,Nov-19,2020-01-22 02:27:46.766810
8837,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,2,"2,350",900 to 1000,Nov-19,2020-01-22 02:27:46.833816
8838,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,3,"3,000",1400 to 1500,Nov-19,2020-01-22 02:27:46.894823
8839,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,3,"2,600",1200 to 1300,Nov-19,2020-01-22 02:27:46.952826
8840,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,3,"2,500",1300 to 1400,Nov-19,2020-01-22 02:27:47.017831
8841,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,2,"2,400",900 to 1000,Nov-19,2020-01-22 02:27:47.077835
8842,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,3,"3,000",1300 to 1400,Oct-19,2020-01-22 02:27:47.135840
8843,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,3,"3,000",1300 to 1400,Oct-19,2020-01-22 02:27:47.204843
8844,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,2,"2,350",900 to 1000,Oct-19,2020-01-22 02:27:47.266850
8845,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,2,"2,300",900 to 1000,Oct-19,2020-01-22 02:27:47.334861
8846,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,3,"2,900",1200 to 1300,Oct-19,2020-01-22 02:27:47.412861
8847,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,2,"2,200",900 to 1000,Oct-19,2020-01-22 02:27:47.475866
8848,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,3,"2,850",1200 to 1300,Oct-19,2020-01-22 02:27:47.560875
8849,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,3,"2,200",1000 to 1100,Oct-19,2020-01-22 02:27:47.629874
8850,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,2,"2,000",900 to 1000,Oct-19,2020-01-22 02:27:47.689878
8851,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,3,"2,400",1200 to 1300,Oct-19,2020-01-22 02:27:47.750884
8852,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,2,"2,300",900 to 1000,Oct-19,2020-01-22 02:27:47.810888
8853,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,2,"2,000",900 to 1000,Oct-19,2020-01-22 02:27:47.869899
8854,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,2,"2,500",900 to 1000,Oct-19,2020-01-22 02:27:47.938898
8855,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,3,"3,150",1400 to 1500,Oct-19,2020-01-22 02:27:48.002902
8856,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,3,"2,400",1000 to 1100,Oct-19,2020-01-22 02:27:48.066907
8857,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,3,"2,200",1000 to 1100,Oct-19,2020-01-22 02:27:48.127912
8858,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,2,"2,350",1000 to 1100,Oct-19,2020-01-22 02:27:48.186916
8859,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,3,"2,550",1100 to 1200,Oct-19,2020-01-22 02:27:48.321929
8860,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,3,"2,300",1000 to 1100,Oct-19,2020-01-22 02:27:48.462938
8861,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,3,"3,100",1400 to 1500,Oct-19,2020-01-22 02:27:48.583948
8862,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,2,"2,300",900 to 1000,Oct-19,2020-01-22 02:27:48.670953
8863,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,3,"2,550",1300 to 1400,Oct-19,2020-01-22 02:27:48.744958
8864,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,2,"2,150",1000 to 1100,Oct-19,2020-01-22 02:27:48.813963
8865,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,3,"2,650",1300 to 1400,Oct-19,2020-01-22 02:27:48.879969
8866,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,2,"2,300",900 to 1000,Oct-19,2020-01-22 02:27:48.955976
8867,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,3,"2,850",1400 to 1500,Oct-19,2020-01-22 02:27:49.019978
8868,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,2,"2,350",900 to 1000,Oct-19,2020-01-22 02:27:49.082987
8869,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,2,"2,500",900 to 1000,Oct-19,2020-01-22 02:27:49.152989
8870,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,2,"2,200",900 to 1000,Oct-19,2020-01-22 02:27:49.240995
8871,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,2,"2,450",900 to 1000,Oct-19,2020-01-22 02:27:49.327003
8872,MELVILLE PARK,SIMEI STREET 1,18,Non-landed Properties,3,"2,400",1000 to 1100,Oct-19,2020-01-22 02:27:49.413007
8873,MENDON SPRING,PASIR PANJANG ROAD,05,Non-landed Properties,2,"2,800",1000 to 1100,Dec-19,2020-01-22 02:27:50.343134
8874,MENDON SPRING,PASIR PANJANG ROAD,05,Non-landed Properties,2,"2,600",1000 to 1100,Dec-19,2020-01-22 02:27:50.368645
8875,MENDON SPRING,PASIR PANJANG ROAD,05,Non-landed Properties,2,"2,900",1000 to 1100,Nov-19,2020-01-22 02:27:50.386647
8876,MERA GARDENS,ALMOND CRESCENT,23,Terrace House,na*,"4,000",2500 to 3000,Dec-19,2020-01-22 02:27:50.690668
8877,MERA GARDENS,ALMOND AVENUE,23,Detached House,na*,"7,800",6000 to 6500,Nov-19,2020-01-22 02:27:50.717680
8878,MERA GARDENS,ALMOND CRESCENT,23,Detached House,na*,"8,500",5500 to 6000,Oct-19,2020-01-22 02:27:50.733727
8879,MERA SPRINGS,CARLISLE ROAD,08,Non-landed Properties,3,"3,600",1200 to 1300,Dec-19,2020-01-22 02:27:50.912120
8880,MERA SPRINGS,CARLISLE ROAD,08,Non-landed Properties,3,"3,500",1200 to 1300,Nov-19,2020-01-22 02:27:50.949124
8881,MERA SPRINGS,CARLISLE ROAD,08,Non-landed Properties,2,"3,200",1000 to 1100,Nov-19,2020-01-22 02:27:50.964125
8882,MERA SPRINGS,CARLISLE ROAD,08,Non-landed Properties,2,"3,000",1000 to 1100,Oct-19,2020-01-22 02:27:50.994125
8883,MERA SPRINGS,CARLISLE ROAD,08,Non-landed Properties,2,"2,900",1000 to 1100,Oct-19,2020-01-22 02:27:51.024129
8884,MERA TERRACE,SEAGULL WALK,16,Terrace House,na*,"3,700",1500 to 2000,Nov-19,2020-01-22 02:27:51.931737
8885,MERA TERRACE,SEAGULL WALK,16,Terrace House,na*,"3,700",2000 to 2500,Nov-19,2020-01-22 02:27:51.952737
8886,MERALODGE,HILLVIEW AVENUE,23,Non-landed Properties,3,"2,600",1600 to 1700,Nov-19,2020-01-22 02:27:52.198847
8887,MERALODGE,HILLVIEW AVENUE,23,Non-landed Properties,3,"2,600",1700 to 1800,Oct-19,2020-01-22 02:27:52.211439
8888,MERAPRIME,JALAN BUKIT HO SWEE,03,Non-landed Properties,3,"5,400",1100 to 1200,Dec-19,2020-01-22 02:27:52.431798
8889,MERAPRIME,JALAN BUKIT HO SWEE,03,Non-landed Properties,3,"5,200",1100 to 1200,Dec-19,2020-01-22 02:27:52.456799
8890,MERAPRIME,JALAN BUKIT HO SWEE,03,Non-landed Properties,3,"5,400",1000 to 1100,Dec-19,2020-01-22 02:27:52.478805
8891,MERAPRIME,JALAN BUKIT HO SWEE,03,Non-landed Properties,2,"4,500",800 to 900,Dec-19,2020-01-22 02:27:52.499617
8892,MERAPRIME,JALAN BUKIT HO SWEE,03,Non-landed Properties,3,"5,000",1100 to 1200,Nov-19,2020-01-22 02:27:52.554976
8893,MERAPRIME,JALAN BUKIT HO SWEE,03,Non-landed Properties,2,"4,200",800 to 900,Nov-19,2020-01-22 02:27:52.591978
8894,MERAPRIME,JALAN BUKIT HO SWEE,03,Non-landed Properties,3,"5,000",1000 to 1100,Nov-19,2020-01-22 02:27:52.613714
8895,MERAPRIME,JALAN BUKIT HO SWEE,03,Non-landed Properties,3,"5,300",1000 to 1100,Nov-19,2020-01-22 02:27:52.635903
8896,MERAPRIME,JALAN BUKIT HO SWEE,03,Non-landed Properties,2,"4,000",800 to 900,Nov-19,2020-01-22 02:27:52.657608
8897,MERAPRIME,JALAN BUKIT HO SWEE,03,Non-landed Properties,3,"5,200",1100 to 1200,Nov-19,2020-01-22 02:27:52.679851
8898,MERAPRIME,JALAN BUKIT HO SWEE,03,Non-landed Properties,4,"5,500",1300 to 1400,Nov-19,2020-01-22 02:27:52.714680
8899,MERAPRIME,JALAN BUKIT HO SWEE,03,Non-landed Properties,2,"4,050",800 to 900,Oct-19,2020-01-22 02:27:52.737666
8900,MERAPRIME,JALAN BUKIT HO SWEE,03,Non-landed Properties,4,"6,000",1300 to 1400,Oct-19,2020-01-22 02:27:52.761973
8901,MERAPRIME,JALAN BUKIT HO SWEE,03,Non-landed Properties,3,"5,000",1100 to 1200,Oct-19,2020-01-22 02:27:52.786984
8902,MERAPRIME,JALAN BUKIT HO SWEE,03,Non-landed Properties,3,"4,400",1100 to 1200,Oct-19,2020-01-22 02:27:52.807970
8903,MERAPRIME,JALAN BUKIT HO SWEE,03,Non-landed Properties,3,"5,700",1100 to 1200,Oct-19,2020-01-22 02:27:52.829618
8904,MERAPRIME,JALAN BUKIT HO SWEE,03,Non-landed Properties,2,"4,800",800 to 900,Oct-19,2020-01-22 02:27:52.850963
8905,MERAPRIME,JALAN BUKIT HO SWEE,03,Non-landed Properties,3,"5,000",1100 to 1200,Oct-19,2020-01-22 02:27:52.872538
8906,MERAPRIME,JALAN BUKIT HO SWEE,03,Non-landed Properties,3,"5,200",1000 to 1100,Oct-19,2020-01-22 02:27:52.894540
8907,MERAWOODS,HILLVIEW AVENUE,23,Non-landed Properties,2,"2,500",1000 to 1100,Dec-19,2020-01-22 02:27:53.133376
8908,MERAWOODS,HILLVIEW AVENUE,23,Non-landed Properties,2,"2,100",1000 to 1100,Dec-19,2020-01-22 02:27:53.170621
8909,MERAWOODS,HILLVIEW AVENUE,23,Non-landed Properties,3,"2,700",1300 to 1400,Dec-19,2020-01-22 02:27:53.193623
8910,MERAWOODS,HILLVIEW AVENUE,23,Non-landed Properties,4,"3,400",1900 to 2000,Oct-19,2020-01-22 02:27:53.210625
8911,MERAWOODS,HILLVIEW AVENUE,23,Non-landed Properties,3,"2,500",1300 to 1400,Oct-19,2020-01-22 02:27:53.232385
8912,MERAWOODS,HILLVIEW AVENUE,23,Non-landed Properties,3,"2,700",1400 to 1500,Oct-19,2020-01-22 02:27:53.253631
8913,MERAWOODS,HILLVIEW AVENUE,23,Non-landed Properties,3,"2,500",1300 to 1400,Oct-19,2020-01-22 02:27:53.271782
8914,MERAWOODS,HILLVIEW AVENUE,23,Non-landed Properties,3,"2,500",1300 to 1400,Oct-19,2020-01-22 02:27:53.289853
8915,MERAWOODS,HILLVIEW AVENUE,23,Non-landed Properties,3,"2,900",1300 to 1400,Oct-19,2020-01-22 02:27:53.309856
8916,MERAWOODS,HILLVIEW AVENUE,23,Non-landed Properties,2,"2,150",1000 to 1100,Oct-19,2020-01-22 02:27:53.329768
8917,MERGUI MANSIONS,MERGUI ROAD,08,Non-landed Properties,3,"3,000",1400 to 1500,Dec-19,2020-01-22 02:27:53.493799
8918,MERGUI MANSIONS,MERGUI ROAD,08,Non-landed Properties,3,"2,900",1400 to 1500,Dec-19,2020-01-22 02:27:53.510851
8919,MERGUI MANSIONS,MERGUI ROAD,08,Non-landed Properties,3,"3,300",1400 to 1500,Nov-19,2020-01-22 02:27:53.527514
8920,MERGUI MANSIONS,MERGUI ROAD,08,Non-landed Properties,3,"2,900",1400 to 1500,Oct-19,2020-01-22 02:27:53.542815
8921,MERIDIAN 38,LORONG M TELOK KURAU,15,Non-landed Properties,2,"2,300",700 to 800,Dec-19,2020-01-22 02:27:53.723967
8922,MERLIN MANSION,EAST COAST ROAD,15,Non-landed Properties,na*,"2,600",1000 to 1100,Nov-19,2020-01-22 02:27:53.932839
8923,METRO LOFT,LORONG 27 GEYLANG,14,Non-landed Properties,1,"1,900",500 to 600,Nov-19,2020-01-22 02:27:54.270777
8924,METRO LOFT,LORONG 27 GEYLANG,14,Non-landed Properties,1,"1,800",400 to 500,Nov-19,2020-01-22 02:27:54.288778
8925,METRO LOFT,LORONG 27 GEYLANG,14,Non-landed Properties,1,"1,800",400 to 500,Oct-19,2020-01-22 02:27:54.306780
8926,METRO LOFT,LORONG 27 GEYLANG,14,Non-landed Properties,1,"1,750",400 to 500,Oct-19,2020-01-22 02:27:54.321781
8927,METRO LOFT,LORONG 27 GEYLANG,14,Non-landed Properties,1,"2,000",400 to 500,Oct-19,2020-01-22 02:27:54.337782
8928,MEYER PARK,MEYER ROAD,15,Non-landed Properties,3,"3,500",1800 to 1900,Dec-19,2020-01-22 02:27:56.326275
8929,MEYER PARK,MEYER ROAD,15,Non-landed Properties,4,"6,400",2700 to 2800,Dec-19,2020-01-22 02:27:56.359488
8930,MEYER PARK,MEYER ROAD,15,Non-landed Properties,4,"4,200",2600 to 2700,Oct-19,2020-01-22 02:27:56.382533
8931,MEYER PARK,MEYER ROAD,15,Non-landed Properties,4,"5,000",2600 to 2700,Oct-19,2020-01-22 02:27:56.400532
8932,MEYER PARK,MEYER ROAD,15,Non-landed Properties,3,"4,150",1800 to 1900,Oct-19,2020-01-22 02:27:56.419175
8933,MEYER RESIDENCE,MEYER PLACE,15,Non-landed Properties,2,"3,400",900 to 1000,Nov-19,2020-01-22 02:27:56.723986
8934,MEYER RESIDENCE,MEYER PLACE,15,Non-landed Properties,2,"3,300",900 to 1000,Nov-19,2020-01-22 02:27:56.754986
8935,MEYER RESIDENCE,MEYER PLACE,15,Non-landed Properties,2,"3,150",900 to 1000,Nov-19,2020-01-22 02:27:56.784989
8936,MEYER RESIDENCE,MEYER PLACE,15,Non-landed Properties,2,"2,800",900 to 1000,Nov-19,2020-01-22 02:27:56.814991
8937,MEYER RESIDENCE,MEYER PLACE,15,Non-landed Properties,2,"2,950",1000 to 1100,Oct-19,2020-01-22 02:27:56.844994
8938,MI CASA,CHOA CHU KANG AVENUE 3,23,Non-landed Properties,2,"2,300",900 to 1000,Dec-19,2020-01-22 02:27:57.762018
8939,MI CASA,CHOA CHU KANG AVENUE 3,23,Non-landed Properties,3,"2,750",1200 to 1300,Dec-19,2020-01-22 02:27:57.810253
8940,MI CASA,CHOA CHU KANG AVENUE 3,23,Non-landed Properties,2,"2,500",900 to 1000,Dec-19,2020-01-22 02:27:57.834841
8941,MI CASA,CHOA CHU KANG AVENUE 3,23,Non-landed Properties,3,"2,800",1300 to 1400,Dec-19,2020-01-22 02:27:57.858845
8942,MI CASA,CHOA CHU KANG AVENUE 3,23,Non-landed Properties,3,"2,300",1200 to 1300,Nov-19,2020-01-22 02:27:57.894846
8943,MI CASA,CHOA CHU KANG AVENUE 3,23,Non-landed Properties,3,"2,800",1300 to 1400,Nov-19,2020-01-22 02:27:57.934851
8944,MI CASA,CHOA CHU KANG AVENUE 3,23,Non-landed Properties,3,"2,700",1300 to 1400,Nov-19,2020-01-22 02:27:57.964853
8945,MI CASA,CHOA CHU KANG AVENUE 3,23,Non-landed Properties,2,"2,400",1100 to 1200,Nov-19,2020-01-22 02:27:58.000853
8946,MI CASA,CHOA CHU KANG AVENUE 3,23,Non-landed Properties,2,"2,500",900 to 1000,Nov-19,2020-01-22 02:27:58.029856
8947,MI CASA,CHOA CHU KANG AVENUE 3,23,Non-landed Properties,3,"2,630",1200 to 1300,Nov-19,2020-01-22 02:27:58.059861
8948,MI CASA,CHOA CHU KANG AVENUE 3,23,Non-landed Properties,3,"2,500",1200 to 1300,Nov-19,2020-01-22 02:27:58.090864
8949,MI CASA,CHOA CHU KANG AVENUE 3,23,Non-landed Properties,3,"2,630",1200 to 1300,Oct-19,2020-01-22 02:27:58.115862
8950,MI CASA,CHOA CHU KANG AVENUE 3,23,Non-landed Properties,3,"2,800",1200 to 1300,Oct-19,2020-01-22 02:27:58.143864
8951,MI CASA,CHOA CHU KANG AVENUE 3,23,Non-landed Properties,3,"2,750",1200 to 1300,Oct-19,2020-01-22 02:27:58.171867
8952,MI CASA,CHOA CHU KANG AVENUE 3,23,Non-landed Properties,2,"2,300",1000 to 1100,Oct-19,2020-01-22 02:27:58.195869
8953,MI CASA,CHOA CHU KANG AVENUE 3,23,Non-landed Properties,3,"2,900",1300 to 1400,Oct-19,2020-01-22 02:27:58.220856
8954,MI CASA,CHOA CHU KANG AVENUE 3,23,Non-landed Properties,2,"2,400",1200 to 1300,Oct-19,2020-01-22 02:27:58.244857
8955,MI CASA,CHOA CHU KANG AVENUE 3,23,Non-landed Properties,2,"2,600",1000 to 1100,Oct-19,2020-01-22 02:27:58.272866
8956,MI CASA,CHOA CHU KANG AVENUE 3,23,Non-landed Properties,3,"2,650",1200 to 1300,Oct-19,2020-01-22 02:27:58.300114
8957,MIAPLACE,ARTHUR ROAD,15,Non-landed Properties,2,"2,500",800 to 900,Dec-19,2020-01-22 02:27:59.247912
8958,MIAPLACE,ARTHUR ROAD,15,Non-landed Properties,3,"4,000",1400 to 1500,Dec-19,2020-01-22 02:27:59.291876
8959,MIAPLACE,ARTHUR ROAD,15,Non-landed Properties,3,"3,700",1400 to 1500,Nov-19,2020-01-22 02:27:59.309769
8960,MIAPLACE,ARTHUR ROAD,15,Non-landed Properties,2,"2,200",800 to 900,Oct-19,2020-01-22 02:27:59.323770
8961,MICHAELS' RESIDENCES,ALMOND STREET,23,Semi-Detached House,na*,"10,000",2500 to 3000,Oct-19,2020-01-22 02:28:00.301034
8962,MICHAELS' RESIDENCES,ALMOND STREET,23,Detached House,na*,"12,500",4000 to 4500,Oct-19,2020-01-22 02:28:00.341075
8963,MIDTOWN RESIDENCES,UPPER SERANGOON ROAD,19,Non-landed Properties,1,"1,750",400 to 500,Dec-19,2020-01-22 02:28:01.319975
8964,MIDTOWN RESIDENCES,UPPER SERANGOON ROAD,19,Non-landed Properties,2,"2,200",600 to 700,Dec-19,2020-01-22 02:28:01.380493
8965,MIDTOWN RESIDENCES,UPPER SERANGOON ROAD,19,Non-landed Properties,2,"2,300",600 to 700,Dec-19,2020-01-22 02:28:01.416811
8966,MIDTOWN RESIDENCES,UPPER SERANGOON ROAD,19,Non-landed Properties,1,"1,750",400 to 500,Dec-19,2020-01-22 02:28:01.469816
8967,MIDTOWN RESIDENCES,UPPER SERANGOON ROAD,19,Non-landed Properties,2,"2,400",600 to 700,Dec-19,2020-01-22 02:28:01.503818
8968,MIDTOWN RESIDENCES,UPPER SERANGOON ROAD,19,Non-landed Properties,2,"2,200",600 to 700,Nov-19,2020-01-22 02:28:01.531819
8969,MIDTOWN RESIDENCES,UPPER SERANGOON ROAD,19,Non-landed Properties,1,"1,850",400 to 500,Nov-19,2020-01-22 02:28:01.570339
8970,MIDTOWN RESIDENCES,UPPER SERANGOON ROAD,19,Non-landed Properties,1,"1,800",400 to 500,Nov-19,2020-01-22 02:28:01.600340
8971,MIDTOWN RESIDENCES,UPPER SERANGOON ROAD,19,Non-landed Properties,2,"2,700",600 to 700,Nov-19,2020-01-22 02:28:01.629345
8972,MIDTOWN RESIDENCES,UPPER SERANGOON ROAD,19,Non-landed Properties,1,"1,700",400 to 500,Nov-19,2020-01-22 02:28:01.656346
8973,MIDTOWN RESIDENCES,UPPER SERANGOON ROAD,19,Non-landed Properties,2,"2,100",600 to 700,Nov-19,2020-01-22 02:28:01.685346
8974,MIDTOWN RESIDENCES,UPPER SERANGOON ROAD,19,Non-landed Properties,1,"1,900",400 to 500,Nov-19,2020-01-22 02:28:01.710114
8975,MIDTOWN RESIDENCES,UPPER SERANGOON ROAD,19,Non-landed Properties,2,"2,400",600 to 700,Oct-19,2020-01-22 02:28:01.738150
8976,MIDTOWN RESIDENCES,UPPER SERANGOON ROAD,19,Non-landed Properties,1,"1,800",400 to 500,Oct-19,2020-01-22 02:28:01.768153
8977,MIDTOWN RESIDENCES,UPPER SERANGOON ROAD,19,Non-landed Properties,2,"3,000",600 to 700,Oct-19,2020-01-22 02:28:01.797154
8978,MIDTOWN RESIDENCES,UPPER SERANGOON ROAD,19,Non-landed Properties,3,"2,500",700 to 800,Oct-19,2020-01-22 02:28:01.828158
8979,MIDTOWN RESIDENCES,UPPER SERANGOON ROAD,19,Non-landed Properties,1,"1,800",400 to 500,Oct-19,2020-01-22 02:28:01.855160
8980,MIDTOWN RESIDENCES,UPPER SERANGOON ROAD,19,Non-landed Properties,1,"1,800",400 to 500,Oct-19,2020-01-22 02:28:01.888161
8981,MIDTOWN RESIDENCES,UPPER SERANGOON ROAD,19,Non-landed Properties,2,"2,200",700 to 800,Oct-19,2020-01-22 02:28:01.913164
8982,MIDTOWN RESIDENCES,UPPER SERANGOON ROAD,19,Non-landed Properties,2,"2,100",600 to 700,Oct-19,2020-01-22 02:28:01.938566
8983,MILL CREEK,LORONG MARZUKI,14,Non-landed Properties,1,"2,000",700 to 800,Dec-19,2020-01-22 02:28:03.834972
8984,MILL POINT,ZION CLOSE,10,Non-landed Properties,2,"3,700",900 to 1000,Dec-19,2020-01-22 02:28:04.785580
8985,MILL POINT,ZION CLOSE,10,Non-landed Properties,1,"2,500",500 to 600,Nov-19,2020-01-22 02:28:04.811937
8986,MILL POINT,ZION CLOSE,10,Non-landed Properties,1,"2,500",500 to 600,Nov-19,2020-01-22 02:28:04.838937
8987,MILL POINT,ZION CLOSE,10,Non-landed Properties,2,"3,300",900 to 1000,Nov-19,2020-01-22 02:28:04.862939
8988,MILL POINT,ZION CLOSE,10,Non-landed Properties,2,"3,500",900 to 1000,Nov-19,2020-01-22 02:28:04.887941
