,Building_Project_Name,Street_Name,Postal_District,Type,No_of_Bedrooms,Monthly_Rent,Floor_Area,Lease_Commencement_Date,Downloaded_At
61,18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,2,"2,500",700 to 800,Oct-19,2020-01-22 02:07:05.579182
62,18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,2,"2,800",700 to 800,Oct-19,2020-01-22 02:07:05.616185
63,183 LONGHAUS,UPPER THOMSON ROAD,20,Non-landed Properties,2,"2,300",500 to 600,Dec-19,2020-01-22 02:07:05.804751
64,183 LONGHAUS,UPPER THOMSON ROAD,20,Non-landed Properties,2,"2,300",500 to 600,Nov-19,2020-01-22 02:07:05.821432
65,183 LONGHAUS,UPPER THOMSON ROAD,20,Non-landed Properties,2,"2,500",500 to 600,Oct-19,2020-01-22 02:07:05.841432
66,1919,SOPHIA ROAD,09,Non-landed Properties,1,"2,800",500 to 600,Dec-19,2020-01-22 02:07:06.031031
67,1919,SOPHIA ROAD,09,Non-landed Properties,1,"2,700",500 to 600,Dec-19,2020-01-22 02:07:06.050031
68,1919,SOPHIA ROAD,09,Non-landed Properties,1,"2,900",500 to 600,Dec-19,2020-01-22 02:07:06.088034
69,1919,SOPHIA ROAD,09,Non-landed Properties,1,"3,100",500 to 600,Dec-19,2020-01-22 02:07:06.106920
70,1919,SOPHIA ROAD,09,Non-landed Properties,2,"3,900",600 to 700,Nov-19,2020-01-22 02:07:06.146048
71,1919,SOPHIA ROAD,09,Non-landed Properties,1,"2,850",500 to 600,Nov-19,2020-01-22 02:07:06.164672
72,1919,SOPHIA ROAD,09,Non-landed Properties,3,"4,300",1000 to 1100,Nov-19,2020-01-22 02:07:06.204675
73,1919,SOPHIA ROAD,09,Non-landed Properties,2,"3,500",700 to 800,Oct-19,2020-01-22 02:07:06.225677
74,1919,SOPHIA ROAD,09,Non-landed Properties,2,"3,750",600 to 700,Oct-19,2020-01-22 02:07:06.249680
75,1919,SOPHIA ROAD,09,Non-landed Properties,3,"4,500",1000 to 1100,Oct-19,2020-01-22 02:07:06.275680
76,1919,SOPHIA ROAD,09,Non-landed Properties,3,"4,400",1000 to 1100,Oct-19,2020-01-22 02:07:06.296681
77,2 RVG,RIVER VALLEY GROVE,09,Non-landed Properties,1,"2,700",600 to 700,Dec-19,2020-01-22 02:07:07.229135
78,2 RVG,RIVER VALLEY GROVE,09,Non-landed Properties,1,"2,500",600 to 700,Dec-19,2020-01-22 02:07:07.276293
79,2 RVG,RIVER VALLEY GROVE,09,Non-landed Properties,2,"4,150",900 to 1000,Nov-19,2020-01-22 02:07:07.312220
80,2 RVG,RIVER VALLEY GROVE,09,Non-landed Properties,2,"3,950",900 to 1000,Oct-19,2020-01-22 02:07:07.327221
